Iteration,Index,Smarts,ParNum,ParentParNum,RefType,Matches,Molecules,FractionMatched,Denominator
655,1,'[*:1]~[*:2]~[*:3]~[*:4]',0,0,'NONE',1,1,0,0 
655,2,'[#8+0:1]~[*:2]~[*:3]~[*;H0:4]',0,0,'NONE',0,0,0,0 
655,3,'[#6r5;X4:1]~[*:2]~[*:3]~[*:4]',0,0,'NONE',2,2,0,0 
655,4,'[#6!H1;X4:1]~[*:2]~[*:3]~[*:4]-[#1!R2]',0,0,'t0007',118,34,118,131 
655,5,'[*:1]~[#8!R4:2]~[*:3]~[*:4]',0,0,'t0008',60,29,60,66 
655,6,'[#8X2:1]~[*:2]~[*:3]~[*:4]',0,0,'t0001',64,27,52,146 
655,7,'[#6r5;X4:1]~[*:2]~[*:3]~[$ewg1&R:4]',0,0,'NONE',4,3,0,0 
655,8,'[#6r5;X4:1]~[*:2]~[*:3](-[$ewg1&!R2])~[*:4]',0,0,'t0009',22,8,2,12 
655,9,'[*;!R2:1]~[*:2]~[*:3]~[*:4]',0,0,'t0004',1904,42,574,574 
656,1,'[*:1]~[*:2]~[*:3]~[*:4]',0,0,'NONE',1,1,0,0 
656,2,'[#8+0:1]~[*:2]~[*:3]~[*;H0:4]',0,0,'NONE',0,0,0,0 
656,3,'[#6r5;X4:1]~[*:2]~[*:3]~[*:4]',0,0,'NONE',2,2,0,0 
656,4,'[#6!H1;X4:1]~[*:2]~[*:3]~[*:4]-[#1!R2]',0,0,'t0007',118,34,118,131 
656,5,'[*:1]~[#8!R4:2]~[*:3]~[*:4]',0,0,'t0008',60,29,60,66 
656,6,'[#8X2:1]~[*:2]~[*:3]~[*:4]',0,0,'t0001',64,27,52,146 
656,7,'[#6r5;X4:1]~[*:2]~[*:3]~[$ewg1&R:4]',0,0,'NONE',4,3,0,0 
656,8,'[#6r5;X4:1]~[*:2]~[*:3](-[$ewg1&!R2])~[*:4]',0,0,'t0009',22,8,2,12 
656,9,'[*;!R2:1]~[*:2]~[*:3]~[*:4]',0,0,'t0004',1904,42,574,574 
657,1,'[*:1]~[*:2]~[*:3]~[*:4]',0,0,'t0001',53,26,52,146 
657,2,'[#8+0:1]~[*:2]~[*:3]~[*;H0:4]',0,0,'t0010',4,4,4,27 
657,3,'[#6r5;X4:1]~[*:2]~[*:3]~[*:4]',0,0,'NONE',2,2,0,0 
