Iteration,Index,Smarts,Typename,ParentSMARTS,RefType,Matches,Molecules,FractionMatched,Denominator
47,6,'[#1$(*~[#6](~[#8])~[#6])]','c_hydrogen any c_carbon any c_carbon (any c_oxygen)','[#1$(*~[#6]~[#6])]','H1',143,42,116,116 
47,-1,'total','all','None','all',803,42,767,803 
48,1,'[#1]','c_hydrogen','None','HO',77,42,68,68 
48,2,'[#6]','c_carbon','None','CT',232,42,232,232 
48,3,'[#8]','c_oxygen','None','OS',39,30,39,39 
48,4,'[#8$(*-[#1])]','c_oxygen singly c_hydrogen ','[#8]','OH',68,42,68,68 
48,5,'[#1$(*~[#6]~[#6])]','c_hydrogen any c_carbon any c_carbon','[#1]','HC',244,38,244,244 
48,6,'[#1$(*~[#6](~[#8])~[#6])]','c_hydrogen any c_carbon any c_carbon (any c_oxygen)','[#1$(*~[#6]~[#6])]','H1',143,42,116,116 
48,-1,'total','all','None','all',803,42,767,803 
49,1,'[#1]','c_hydrogen','None','HO',77,42,68,68 
49,2,'[#6]','c_carbon','None','CT',232,42,232,232 
49,3,'[#8]','c_oxygen','None','OS',39,30,39,39 
49,4,'[#8$(*-[#1])]','c_oxygen singly c_hydrogen ','[#8]','OH',68,42,68,68 
49,5,'[#1$(*~[#6]~[#6])]','c_hydrogen any c_carbon any c_carbon','[#1]','HC',244,38,244,244 
49,6,'[#1$(*~[#6](~[#8])~[#6])]','c_hydrogen any c_carbon any c_carbon (any c_oxygen)','[#1$(*~[#6]~[#6])]','H1',143,42,116,116 
49,-1,'total','all','None','all',803,42,767,803 
50,1,'[#1]','c_hydrogen','None','HO',77,42,68,68 
50,2,'[#6]','c_carbon','None','CT',232,42,232,232 
50,3,'[#8]','c_oxygen','None','OS',39,30,39,39 
50,4,'[#8$(*-[#1])]','c_oxygen singly c_hydrogen ','[#8]','OH',68,42,68,68 
50,5,'[#1$(*~[#6]~[#6])]','c_hydrogen any c_carbon any c_carbon','[#1]','HC',244,38,244,244 
50,6,'[#1$(*~[#6](~[#8])~[#6])]','c_hydrogen any c_carbon any c_carbon (any c_oxygen)','[#1$(*~[#6]~[#6])]','H1',143,42,116,116 
50,-1,'total','all','None','all',803,42,767,803 
51,1,'[#1]','c_hydrogen','None','HO',77,42,68,68 
51,2,'[#6]','c_carbon','None','CT',232,42,232,232 
51,3,'[#8]','c_oxygen','None','OS',39,30,39,39 
51,4,'[#8$(*-[#1])]','c_oxygen singly c_hydrogen ','[#8]','OH',68,42,68,68 
51,5,'[#1$(*~[#6]~[#6])]','c_hydrogen any c_carbon any c_carbon','[#1]','HC',244,38,244,244 
51,6,'[#1$(*~[#6](~[#8])~[#6])]','c_hydrogen any c_carbon any c_carbon (any c_oxygen)','[#1$(*~[#6]~[#6])]','H1',143,42,116,116 
51,-1,'total','all','None','all',803,42,767,803 
52,1,'[#1]','c_hydrogen','None','HO',77,42,68,68 
52,2,'[#6]','c_carbon','None','CT',232,42,232,232 
52,3,'[#8]','c_oxygen','None','OS',39,30,39,39 
52,4,'[#8$(*-[#1])]','c_oxygen singly c_hydrogen ','[#8]','OH',68,42,68,68 
52,5,'[#1$(*~[#6]~[#6])]','c_hydrogen any c_carbon any c_carbon','[#1]','HC',244,38,244,244 
52,6,'[#1$(*~[#6](~[#8])~[#6])]','c_hydrogen any c_carbon any c_carbon (any c_oxygen)','[#1$(*~[#6]~[#6])]','H1',143,42,116,116 
52,-1,'total','all','None','all',803,42,767,803 
53,1,'[#1]','c_hydrogen','None','HO',77,42,68,68 
53,2,'[#6]','c_carbon','None','CT',232,42,232,232 
53,3,'[#8]','c_oxygen','None','OS',39,30,39,39 
53,4,'[#8$(*-[#1])]','c_oxygen singly c_hydrogen ','[#8]','OH',68,42,68,68 
53,5,'[#1$(*~[#6]~[#6])]','c_hydrogen any c_carbon any c_carbon','[#1]','HC',244,38,244,244 
53,6,'[#1$(*~[#6](~[#8])~[#6])]','c_hydrogen any c_carbon any c_carbon (any c_oxygen)','[#1$(*~[#6]~[#6])]','H1',143,42,116,116 
53,-1,'total','all','None','all',803,42,767,803 
54,1,'[#1]','c_hydrogen','None','HO',77,42,68,68 
54,2,'[#6]','c_carbon','None','CT',232,42,232,232 
54,3,'[#8]','c_oxygen','None','OS',39,30,39,39 
54,4,'[#8$(*-[#1])]','c_oxygen singly c_hydrogen ','[#8]','OH',68,42,68,68 
54,5,'[#1$(*~[#6]~[#6])]','c_hydrogen any c_carbon any c_carbon','[#1]','HC',244,38,244,244 
54,6,'[#1$(*~[#6](~[#8])~[#6])]','c_hydrogen any c_carbon any c_carbon (any c_oxygen)','[#1$(*~[#6]~[#6])]','H1',143,42,116,116 
54,-1,'total','all','None','all',803,42,767,803 
55,1,'[#1]','c_hydrogen','None','HO',77,42,68,68 
55,2,'[#6]','c_carbon','None','CT',232,42,232,232 
55,3,'[#8]','c_oxygen','None','OS',39,30,39,39 
55,4,'[#8$(*-[#1])]','c_oxygen singly c_hydrogen ','[#8]','OH',68,42,68,68 
55,5,'[#1$(*~[#6]~[#6])]','c_hydrogen any c_carbon any c_carbon','[#1]','HC',244,38,244,244 
55,6,'[#1$(*~[#6](~[#8])~[#6])]','c_hydrogen any c_carbon any c_carbon (any c_oxygen)','[#1$(*~[#6]~[#6])]','H1',143,42,116,116 
55,-1,'total','all','None','all',803,42,767,803 
56,1,'[#1]','c_hydrogen','None','HO',77,42,68,68 
56,2,'[#6]','c_carbon','None','CT',232,42,232,232 
56,3,'[#8]','c_oxygen','None','OS',39,30,39,39 
56,4,'[#8$(*-[#1])]','c_oxygen singly c_hydrogen ','[#8]','OH',68,42,68,68 
56,5,'[#1$(*~[#6]~[#6])]','c_hydrogen any c_carbon any c_carbon','[#1]','HC',244,38,244,244 
56,6,'[#1$(*~[#6](~[#8])~[#6])]','c_hydrogen any c_carbon any c_carbon (any c_oxygen)','[#1$(*~[#6]~[#6])]','H1',143,42,116,116 
56,-1,'total','all','None','all',803,42,767,803 
57,1,'[#1]','c_hydrogen','None','HO',77,42,68,68 
57,2,'[#6]','c_carbon','None','CT',232,42,232,232 
57,3,'[#8]','c_oxygen','None','OS',39,30,39,39 
57,4,'[#8$(*-[#1])]','c_oxygen singly c_hydrogen ','[#8]','OH',68,42,68,68 
57,5,'[#1$(*~[#6]~[#6])]','c_hydrogen any c_carbon any c_carbon','[#1]','HC',244,38,244,244 
57,6,'[#1$(*~[#6](~[#8])~[#6])]','c_hydrogen any c_carbon any c_carbon (any c_oxygen)','[#1$(*~[#6]~[#6])]','H1',143,42,116,116 
57,-1,'total','all','None','all',803,42,767,803 
58,1,'[#1]','c_hydrogen','None','HO',77,42,68,68 
58,2,'[#6]','c_carbon','None','CT',232,42,232,232 
58,3,'[#8]','c_oxygen','None','OS',39,30,39,39 
58,4,'[#8$(*-[#1])]','c_oxygen singly c_hydrogen ','[#8]','OH',68,42,68,68 
58,5,'[#1$(*~[#6]~[#6])]','c_hydrogen any c_carbon any c_carbon','[#1]','HC',244,38,244,244 
58,6,'[#1$(*~[#6](~[#8])~[#6])]','c_hydrogen any c_carbon any c_carbon (any c_oxygen)','[#1$(*~[#6]~[#6])]','H1',143,42,116,116 
58,-1,'total','all','None','all',803,42,767,803 
59,1,'[#1]','c_hydrogen','None','HO',77,42,68,68 
59,2,'[#6]','c_carbon','None','CT',232,42,232,232 
59,3,'[#8]','c_oxygen','None','OS',39,30,39,39 
59,4,'[#8$(*-[#1])]','c_oxygen singly c_hydrogen ','[#8]','OH',68,42,68,68 
59,5,'[#1$(*~[#6]~[#6])]','c_hydrogen any c_carbon any c_carbon','[#1]','HC',244,38,244,244 
59,6,'[#1$(*~[#6](~[#8])~[#6])]','c_hydrogen any c_carbon any c_carbon (any c_oxygen)','[#1$(*~[#6]~[#6])]','H1',143,42,116,116 
59,-1,'total','all','None','all',803,42,767,803 
60,1,'[#1]','c_hydrogen','None','HO',77,42,68,68 
60,2,'[#6]','c_carbon','None','CT',232,42,232,232 
60,3,'[#8]','c_oxygen','None','OS',39,30,39,39 
60,4,'[#8$(*-[#1])]','c_oxygen singly c_hydrogen ','[#8]','OH',68,42,68,68 
60,5,'[#1$(*~[#6]~[#6])]','c_hydrogen any c_carbon any c_carbon','[#1]','HC',244,38,244,244 
60,6,'[#1$(*~[#6](~[#8])~[#6])]','c_hydrogen any c_carbon any c_carbon (any c_oxygen)','[#1$(*~[#6]~[#6])]','H1',143,42,116,116 
60,-1,'total','all','None','all',803,42,767,803 
61,1,'[#1]','c_hydrogen','None','HO',77,42,68,68 
61,2,'[#6]','c_carbon','None','CT',232,42,232,232 
61,3,'[#8]','c_oxygen','None','OS',39,30,39,39 
61,4,'[#8$(*-[#1])]','c_oxygen singly c_hydrogen ','[#8]','OH',68,42,68,68 
61,5,'[#1$(*~[#6]~[#6])]','c_hydrogen any c_carbon any c_carbon','[#1]','HC',244,38,244,244 
61,6,'[#1$(*~[#6](~[#8])~[#6])]','c_hydrogen any c_carbon any c_carbon (any c_oxygen)','[#1$(*~[#6]~[#6])]','H1',143,42,116,116 
61,-1,'total','all','None','all',803,42,767,803 
